from,to,brand,bucket
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/7000 Series Wiring Diagram 230V.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/7000 Series Wiring Diagram 230V.pdf,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/7000 Series Wiring Diagram 400V.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/7000 Series Wiring Diagram 400V.pdf,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/7000 Series Wiring Diagram.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/7000 Series Wiring Diagram.pdf,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/ATLAS RPH Annex Components and Connections.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/ATLAS RPH Annex Components and Connections.pdf,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/Almega Direct - to - Floor Electrical Drawing.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/Almega Direct - to - Floor Electrical Drawing.pdf,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/Anticipated Door Opening 2 - Speed Lifts.tif,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/Anticipated Door Opening 2 - Speed Lifts.tif,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/Arca Básico Machine Room Schematics.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/Arca Básico Machine Room Schematics.jpg,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/Arca Básico and M322 Electrical Schematics.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/Arca Básico and M322 Electrical Schematics.jpg,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/Atlas Hydraulic Lift Controller Wiring.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/Atlas Hydraulic Lift Controller Wiring.pdf,Orona,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Orona/Atlas Kleemann Prewired Installation.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Orona/Atlas Kleemann Prewired Installation.pdf,Orona,high_confidence
